,Invoice Date,Volume (L),Quarter,Fiscal Year,Item ID,Product,Product Type,Species,Anticoagulant,Gender
4269,2022-05-24,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4270,2022-05-24,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4271,2022-05-24,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4272,2022-05-24,0.05,2022Q1,2022,7200806,WHOLE BLOOD,DONOR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
4273,2022-05-24,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4274,2022-05-24,0.1,2022Q1,2022,7209003,WHOLE BLOOD,DONOR,SHEEP,ALSEVERS,GENDER UNSPECIFIED
4275,2022-05-24,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4276,2022-05-24,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4277,2022-05-24,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4278,2022-05-24,0.1,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4279,2022-05-24,0.1,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4280,2022-05-24,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4281,2022-05-24,0.05,2022Q1,2022,7209003,WHOLE BLOOD,DONOR,SHEEP,ALSEVERS,GENDER UNSPECIFIED
4282,2022-05-24,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4283,2022-05-24,0.05,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4284,2022-05-24,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4285,2022-05-24,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4286,2022-05-24,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4287,2022-05-24,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4288,2022-05-24,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4290,2022-05-24,0.15,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4294,2022-05-24,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4295,2022-05-24,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4298,2022-05-25,0.30000000000000004,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4299,2022-05-25,0.0,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4300,2022-05-25,0.05,2022Q1,2022,7720103,WHOLE BLOOD,DONOR,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4309,2022-05-25,0.05,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4310,2022-05-25,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4315,2022-05-26,1.0,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4321,2022-05-26,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4324,2022-05-26,0.03,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4329,2022-05-26,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4331,2022-05-31,0.03,2022Q1,2022,7241409,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4334,2022-05-31,0.05,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4335,2022-05-31,0.05,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4336,2022-05-31,0.2,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4337,2022-05-31,0.2,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4338,2022-05-31,0.2,2022Q1,2022,7248508,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED
4340,2022-05-31,0.03,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4344,2022-05-31,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4351,2022-05-31,0.1,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4354,2022-05-31,0.2,2022Q1,2022,7241409,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4355,2022-05-31,0.2,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4356,2022-05-31,0.03,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4360,2022-05-31,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4361,2022-05-31,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4362,2022-05-31,0.03,2022Q1,2022,7240808,WASHED CELLS,10%,BOVINE,ALSEVERS,GENDER UNSPECIFIED
4369,2022-05-31,0.06,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4377,2022-05-31,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4378,2022-05-31,0.2,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4379,2022-05-31,0.15000000000000002,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4380,2022-05-31,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4381,2022-05-31,0.15000000000000002,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4382,2022-05-31,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4383,2022-05-31,0.30000000000000004,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4384,2022-05-31,8.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4387,2022-05-31,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4389,2022-05-31,0.03,2022Q1,2022,7240808,WASHED CELLS,10%,BOVINE,ALSEVERS,GENDER UNSPECIFIED
4390,2022-05-31,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4392,2022-05-31,0.30000000000000004,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4393,2022-05-31,0.30000000000000004,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4394,2022-05-31,0.5,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4395,2022-06-01,0.1,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4396,2022-06-01,0.1,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4397,2022-06-01,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4398,2022-06-01,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4399,2022-06-01,0.1,2022Q1,2022,7209003,WHOLE BLOOD,DONOR,SHEEP,ALSEVERS,GENDER UNSPECIFIED
4400,2022-06-01,0.1,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4401,2022-06-01,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4402,2022-06-01,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4403,2022-06-01,0.05,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4404,2022-06-01,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4405,2022-06-01,0.05,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4406,2022-06-01,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4407,2022-06-01,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4408,2022-06-01,0.05,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4409,2022-06-01,0.1,2022Q1,2022,7240808,WASHED CELLS,10%,BOVINE,ALSEVERS,GENDER UNSPECIFIED
4410,2022-06-01,0.03,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4414,2022-06-01,0.03,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4415,2022-06-01,0.03,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4416,2022-06-01,0.03,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4419,2022-06-01,1.0,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4426,2022-06-01,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4428,2022-06-01,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4429,2022-06-02,1.0,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4434,2022-06-02,0.015,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4435,2022-06-02,0.015,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4436,2022-06-02,0.03,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4437,2022-06-02,0.1,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4442,2022-06-02,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4449,2022-06-06,0.2,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4450,2022-06-06,0.2,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4451,2022-06-06,0.2,2022Q1,2022,7248508,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED
4455,2022-06-06,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4467,2022-06-06,0.2,2022Q1,2022,7241409,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4468,2022-06-06,0.2,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4470,2022-06-06,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4472,2022-06-06,0.015,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4473,2022-06-06,0.03,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4474,2022-06-06,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4475,2022-06-06,0.03,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4484,2022-06-06,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4485,2022-06-06,0.2,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4486,2022-06-06,0.15000000000000002,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4487,2022-06-06,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4488,2022-06-06,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4489,2022-06-06,0.30000000000000004,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4495,2022-06-06,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4496,2022-06-06,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4498,2022-06-06,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4499,2022-06-06,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4500,2022-06-06,0.2,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4501,2022-06-06,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4504,2022-06-07,0.05,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4505,2022-06-07,0.05,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4506,2022-06-07,0.05,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4507,2022-06-07,0.03,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4508,2022-06-07,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4509,2022-06-07,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4510,2022-06-07,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4511,2022-06-07,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4512,2022-06-07,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4513,2022-06-07,0.30000000000000004,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4514,2022-06-07,0.05,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
4515,2022-06-07,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4516,2022-06-07,0.05,2022Q1,2022,7200806,WHOLE BLOOD,DONOR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
4517,2022-06-07,0.05,2022Q1,2022,7200806,WHOLE BLOOD,DONOR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
4518,2022-06-07,0.1,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4519,2022-06-07,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4520,2022-06-07,0.2,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4521,2022-06-07,0.5,2022Q1,2022,7200806,WHOLE BLOOD,DONOR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
4522,2022-06-07,0.1,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4523,2022-06-07,0.05,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4525,2022-06-07,0.03,2022Q1,2022,7241409,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4526,2022-06-07,0.05,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4528,2022-06-07,0.015,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4531,2022-06-07,0.1,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4532,2022-06-07,0.30000000000000004,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4533,2022-06-07,0.03,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4536,2022-06-07,0.03,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4538,2022-06-07,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4540,2022-06-08,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4551,2022-06-08,0.0,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4552,2022-06-08,0.0,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4553,2022-06-08,0.0,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4562,2022-06-09,1.0,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4565,2022-06-09,0.1,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4568,2022-06-09,0.015,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4569,2022-06-09,0.1,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4570,2022-06-09,0.03,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4571,2022-06-09,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4572,2022-06-09,0.045,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4573,2022-06-09,0.1,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4574,2022-06-09,0.03,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4575,2022-06-09,0.05,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4576,2022-06-09,0.03,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4577,2022-06-09,0.015,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4578,2022-06-09,0.1,2022Q1,2022,7720113,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4579,2022-06-09,0.03,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4580,2022-06-09,0.1,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4581,2022-06-09,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4582,2022-06-09,0.03,2022Q1,2022,7240808,WASHED CELLS,10%,BOVINE,ALSEVERS,GENDER UNSPECIFIED
4587,2022-06-09,0.03,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4588,2022-06-09,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4589,2022-06-09,0.015,2022Q1,2022,7240808,WASHED CELLS,10%,BOVINE,ALSEVERS,GENDER UNSPECIFIED
4597,2022-06-13,0.0,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4598,2022-06-13,0.0,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4599,2022-06-13,0.05,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4600,2022-06-13,0.05,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4601,2022-06-13,0.2,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4602,2022-06-13,0.2,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4603,2022-06-13,0.2,2022Q1,2022,7248508,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED
4605,2022-06-13,0.015,2022Q1,2022,7241409,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4607,2022-06-13,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4615,2022-06-13,0.1,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4619,2022-06-13,0.2,2022Q1,2022,7241409,WASHED CELLS,5%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4620,2022-06-13,0.2,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4621,2022-06-13,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4622,2022-06-13,0.015,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4623,2022-06-13,0.5,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4624,2022-06-13,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4629,2022-06-13,0.06,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4632,2022-06-13,0.015,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4635,2022-06-13,0.05,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4636,2022-06-13,0.2,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4637,2022-06-13,0.15000000000000002,2022Q1,2022,7243109,WASHED CELLS,5%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4638,2022-06-13,0.05,2022Q1,2022,7249409,WASHED CELLS,5%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4639,2022-06-13,0.03,2022Q1,2022,7249408,WASHED CELLS,10%,TURKEY,ALSEVERS,GENDER UNSPECIFIED
4640,2022-06-13,0.015,2022Q1,2022,7243108,WASHED CELLS,10%,GUINEA PIG,ALSEVERS,GENDER UNSPECIFIED
4641,2022-06-13,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4642,2022-06-13,0.30000000000000004,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4643,2022-06-13,4.0,2022Q1,2022,7210830,WHOLE BLOOD,HEMATOCRIT ADJUSTED,BOVINE,NA-EDTA,GENDER UNSPECIFIED
4645,2022-06-13,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4647,2022-06-13,0.03,2022Q1,2022,7240808,WASHED CELLS,10%,BOVINE,ALSEVERS,GENDER UNSPECIFIED
4648,2022-06-13,0.2,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4650,2022-06-13,0.30000000000000004,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4651,2022-06-13,0.30000000000000004,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4652,2022-06-13,0.5,2022Q1,2022,7230801,WHOLE BLOOD,DEFIB,BOVINE,NONE,GENDER UNSPECIFIED
4653,2022-06-14,0.03,2022Q1,2022,7241408,WASHED CELLS,10%,CHICKEN,ALSEVERS,GENDER UNSPECIFIED
4654,2022-06-14,0.1,2022Q1,2022,7239001,WHOLE BLOOD,DEFIB,SHEEP,NONE,GENDER UNSPECIFIED
4655,2022-06-14,0.1,2022Q1,2022,7209006,WHOLE BLOOD,DONOR,SHEEP,NA-CITRATE,GENDER UNSPECIFIED
